Product ID,Store Trust Score,Store Trustworthiness,Shipping Price,Delivery Time,Delivery Dates,Product Trustworthiness
1005003091827236,148.0,Highly Trustworthy,0,0,19 jan.-23 jan.,Very Low Trustworthiness
1005003091827236,148.0,Highly Trustworthy,0,0,19 jan.-23 jan.,Very Low Trustworthiness
1005003091827236,148.0,Highly Trustworthy,0,0,19 jan.-23 jan.,Very Low Trustworthiness
1005003091827236,148.0,Highly Trustworthy,0,0,19 jan.-23 jan.,Very Low Trustworthiness
1005003091827236,148.0,Highly Trustworthy,0,0,19 jan.-23 jan.,Very Low Trustworthiness
1005003091827236,148.0,Highly Trustworthy,0,0,19 jan.-23 jan.,Very Low Trustworthiness
1005003091827236,148.0,Highly Trustworthy,0,0,19 jan.-23 jan.,Very Low Trustworthiness
1005003091827236,148.0,Highly Trustworthy,0,0,19 jan.-23 jan.,Very Low Trustworthiness
1005003091827236,148.0,Highly Trustworthy,0,0,19 jan.-23 jan.,Very Low Trustworthiness
1005003091827236,148.0,Highly Trustworthy,0,0,19 jan.-23 jan.,Very Low Trustworthiness
1005003091827236,148.0,Highly Trustworthy,0,0,19 jan.-23 jan.,Very Low Trustworthiness
1005003091827236,148.0,Highly Trustworthy,0,0,19 jan.-23 jan.,Very Low Trustworthiness
1005003091827236,148.0,Highly Trustworthy,0,0,19 jan.-23 jan.,Very Low Trustworthiness
1005003091827236,148.0,Highly Trustworthy,0,0,19 jan.-23 jan.,Very Low Trustworthiness
1005003091827236,148.0,Highly Trustworthy,0,0,19 jan.-23 jan.,Very Low Trustworthiness
