name,reviewPercentage,isChoiceStore,isPlusStore,isGoldStore,followers,id,trustScore,trustworthiness
Rorgoo Store ,96.9,False,False,False,4069,,66.0,Somewhat Trustworthy
Rorgoo Store ,96.9,False,False,False,4069,,66.0,Somewhat Trustworthy
Apple Samsung 99New Refurbished Phone Store ,85.3,False,False,False,610,,56.99999999999999,Neutral Trustworthiness
Apple Samsung 99New Refurbished Phone Store ,85.3,False,False,False,610,,56.99999999999999,Neutral Trustworthiness
Apple Samsung 99New Refurbished Phone Store ,85.3,False,False,False,610,,56.99999999999999,Neutral Trustworthiness
Apple Samsung 99New Refurbished Phone Store ,85.3,False,False,False,610,,56.99999999999999,Neutral Trustworthiness
Apple Samsung 99New Refurbished Phone Store ,85.3,False,False,False,610,,56.99999999999999,Neutral Trustworthiness
EK Mobile Store ,83.6,False,False,False,678,,56.00000000000001,Neutral Trustworthiness
5G Phone Store Store ,93.4,False,False,False,3535,,63.0,Somewhat Trustworthy
SEN YUAN(HK) STORE ,92.4,False,False,False,78700.0,,79.0,Trustworthy
24H Online-The Reliable Genuine Mobile Phone Store ,97.2,False,False,True,108600.0,,94.0,Very Trustworthy
BanMiDi Original Brand Phone Store Store ,93.0,False,False,False,4635,,63.0,Somewhat Trustworthy
Hongkong Hi5 MobileGroup Store ,95.1,False,False,False,49700.0,,75.0,Trustworthy
